Date,strategy,side,signal,market_state,pred_conf,entry_price,exit_price,intraday_ret,ret
2025-08-06,markov_oos_argmax,short,-1.0,bearish,0.7657657657657657,6309.2998046875,6345.06005859375,0.005667864107469001,-0.005667864107469001
2025-08-06,markov_oos_thresh,short,-1.0,bearish,0.7657657657657657,6309.2998046875,6345.06005859375,0.005667864107469001,-0.005667864107469001
2025-08-06,direct_oos,short,-1.0,bearish,,6309.2998046875,6345.06005859375,0.005667864107469001,-0.005667864107469001
2025-08-07,markov_oos_argmax,short,-1.0,bearish,0.7657657657657657,6374.31982421875,6340.0,-0.005384076288164064,0.005384076288164064
2025-08-07,markov_oos_thresh,short,-1.0,bearish,0.7657657657657657,6374.31982421875,6340.0,-0.005384076288164064,0.005384076288164064
2025-08-07,direct_oos,long,1.0,bearish,,6374.31982421875,6340.0,-0.005384076288164064,-0.005384076288164064
2025-08-08,markov_oos_argmax,short,-1.0,bearish,0.7657657657657657,6355.22021484375,6389.4501953125,0.005386120277752093,-0.005386120277752093
2025-08-08,markov_oos_thresh,short,-1.0,bearish,0.7657657657657657,6355.22021484375,6389.4501953125,0.005386120277752093,-0.005386120277752093
2025-08-08,direct_oos,short,-1.0,bearish,,6355.22021484375,6389.4501953125,0.005386120277752093,-0.005386120277752093
2025-08-11,markov_oos_argmax,short,-1.0,bearish,0.7657657657657657,6389.669921875,6373.4501953125,-0.0025384294902264237,0.0025384294902264237
2025-08-11,markov_oos_thresh,short,-1.0,bearish,0.7657657657657657,6389.669921875,6373.4501953125,-0.0025384294902264237,0.0025384294902264237
2025-08-11,direct_oos,long,1.0,bearish,,6389.669921875,6373.4501953125,-0.0025384294902264237,-0.0025384294902264237
2025-08-12,markov_oos_thresh,short,-1.0,bullish,0.7657657657657657,6395.169921875,6445.759765625,0.007910633238525033,-0.007910633238525033
2025-08-12,direct_oos,short,-1.0,bullish,,6395.169921875,6445.759765625,0.007910633238525033,-0.007910633238525033
2025-08-12,markov_oos_argmax,short,-1.0,bullish,0.7657657657657657,6395.169921875,6445.759765625,0.007910633238525033,-0.007910633238525033
2025-08-13,direct_oos,long,1.0,bearish,,6462.669921875,6466.580078125,0.0006050372829293771,0.0006050372829293771
2025-08-13,markov_oos_argmax,long,1.0,bearish,0.7567567567567568,6462.669921875,6466.580078125,0.0006050372829293771,0.0006050372829293771
2025-08-13,markov_oos_thresh,long,1.0,bearish,0.7567567567567568,6462.669921875,6466.580078125,0.0006050372829293771,0.0006050372829293771
2025-08-14,markov_oos_argmax,short,-1.0,bullish,0.7657657657657657,6453.4599609375,6468.5400390625,0.002336743113969808,-0.002336743113969808
2025-08-14,markov_oos_thresh,short,-1.0,bullish,0.7657657657657657,6453.4599609375,6468.5400390625,0.002336743113969808,-0.002336743113969808
