Date,strategy,side,signal,market_state,pred_conf,entry_price,exit_price,intraday_ret,ret
2025-03-11,markov_thresh,long,1,bullish,0.7534246575342466,5603.64990234375,5572.06982421875,-0.0056356265425845375,-0.0056356265425845375
2025-03-12,markov_thresh,long,1,bearish,0.7534246575342466,5624.83984375,5599.2998046875,-0.004540580669310734,-0.004540580669310734
2025-03-12,direct,long,1,bearish,,5624.83984375,5599.2998046875,-0.004540580669310734,-0.004540580669310734
2025-03-12,markov_argmax,long,1,bearish,0.7534246575342466,5624.83984375,5599.2998046875,-0.004540580669310734,-0.004540580669310734
2025-03-13,markov_argmax,short,-1,bullish,0.7348484848484849,5594.4501953125,5521.52001953125,-0.013036164991218846,0.013036164991218846
2025-03-13,markov_thresh,short,-1,bullish,0.7348484848484849,5594.4501953125,5521.52001953125,-0.013036164991218846,0.013036164991218846
2025-03-13,direct,short,-1,bullish,,5594.4501953125,5521.52001953125,-0.013036164991218846,0.013036164991218846
2025-03-14,markov_thresh,long,1,bullish,0.7534246575342466,5563.85009765625,5638.93994140625,0.013496022076804559,0.013496022076804559
2025-03-14,direct,long,1,bullish,,5563.85009765625,5638.93994140625,0.013496022076804559,0.013496022076804559
2025-03-14,markov_argmax,long,1,bullish,0.7534246575342466,5563.85009765625,5638.93994140625,0.013496022076804559,0.013496022076804559
2025-03-17,direct,short,-1,bullish,,5635.60009765625,5675.1201171875,0.007012566336579873,-0.007012566336579873
2025-03-17,markov_thresh,long,1,bullish,0.7534246575342466,5635.60009765625,5675.1201171875,0.007012566336579873,0.007012566336579873
2025-03-17,markov_argmax,long,1,bullish,0.7534246575342466,5635.60009765625,5675.1201171875,0.007012566336579873,0.007012566336579873
2025-03-18,markov_argmax,long,1,bullish,0.7534246575342466,5654.52978515625,5614.66015625,-0.007050918541610995,-0.007050918541610995
2025-03-18,markov_thresh,long,1,bullish,0.7534246575342466,5654.52978515625,5614.66015625,-0.007050918541610995,-0.007050918541610995
2025-03-18,direct,short,-1,bullish,,5654.52978515625,5614.66015625,-0.007050918541610995,0.007050918541610995
2025-03-19,markov_thresh,long,1,bullish,0.7534246575342466,5632.3701171875,5675.2900390625,0.007620223987771624,0.007620223987771624
2025-03-19,markov_argmax,long,1,bullish,0.7534246575342466,5632.3701171875,5675.2900390625,0.007620223987771624,0.007620223987771624
2025-03-19,direct,long,1,bullish,,5632.3701171875,5675.2900390625,0.007620223987771624,0.007620223987771624
2025-03-20,direct,short,-1,bullish,,5646.919921875,5662.89013671875,0.002828128442531108,-0.002828128442531108
2025-03-20,markov_argmax,long,1,bullish,0.7534246575342466,5646.919921875,5662.89013671875,0.002828128442531108,0.002828128442531108
2025-03-20,markov_thresh,long,1,bullish,0.7534246575342466,5646.919921875,5662.89013671875,0.002828128442531108,0.002828128442531108
2025-03-21,markov_argmax,long,1,bullish,0.7534246575342466,5630.72998046875,5667.56005859375,0.00654090646377159,0.00654090646377159
2025-03-21,markov_thresh,long,1,bullish,0.7534246575342466,5630.72998046875,5667.56005859375,0.00654090646377159,0.00654090646377159
2025-03-21,direct,long,1,bullish,,5630.72998046875,5667.56005859375,0.00654090646377159,0.00654090646377159
2025-03-24,markov_argmax,long,1,bullish,0.7534246575342466,5718.080078125,5767.56982421875,0.008654958555595726,0.008654958555595726
2025-03-24,markov_thresh,long,1,bullish,0.7534246575342466,5718.080078125,5767.56982421875,0.008654958555595726,0.008654958555595726
2025-03-25,direct,short,-1,bullish,,5775.9599609375,5776.64990234375,0.00011945051747530577,-0.00011945051747530577
2025-03-25,markov_thresh,long,1,bullish,0.7534246575342466,5775.9599609375,5776.64990234375,0.00011945051747530577,0.00011945051747530577
2025-03-25,markov_argmax,long,1,bullish,0.7534246575342466,5775.9599609375,5776.64990234375,0.00011945051747530577,0.00011945051747530577
2025-03-26,markov_argmax,long,1,bearish,0.7534246575342466,5771.66015625,5712.2001953125,-0.01030205509815263,-0.01030205509815263
2025-03-26,markov_thresh,long,1,bearish,0.7534246575342466,5771.66015625,5712.2001953125,-0.01030205509815263,-0.01030205509815263
2025-03-26,direct,long,1,bearish,,5771.66015625,5712.2001953125,-0.01030205509815263,-0.01030205509815263
2025-03-27,markov_thresh,short,-1,bearish,0.7348484848484849,5695.64013671875,5693.31005859375,-0.0004090985506578493,0.0004090985506578493
2025-03-27,markov_argmax,short,-1,bearish,0.7348484848484849,5695.64013671875,5693.31005859375,-0.0004090985506578493,0.0004090985506578493
2025-03-27,direct,long,1,bearish,,5695.64013671875,5693.31005859375,-0.0004090985506578493,-0.0004090985506578493
2025-03-28,markov_thresh,short,-1,bearish,0.7348484848484849,5679.2001953125,5580.93994140625,-0.01730177675147848,0.01730177675147848
2025-03-28,markov_argmax,short,-1,bearish,0.7348484848484849,5679.2001953125,5580.93994140625,-0.01730177675147848,0.01730177675147848
2025-03-28,direct,long,1,bearish,,5679.2001953125,5580.93994140625,-0.01730177675147848,-0.01730177675147848
2025-03-31,markov_thresh,short,-1,bearish,0.7348484848484849,5527.91015625,5611.85009765625,0.015184751385900475,-0.015184751385900475
2025-03-31,markov_argmax,short,-1,bearish,0.7348484848484849,5527.91015625,5611.85009765625,0.015184751385900475,-0.015184751385900475
2025-03-31,direct,long,1,bearish,,5527.91015625,5611.85009765625,0.015184751385900475,0.015184751385900475
2025-04-01,direct,long,1,bearish,,5597.52978515625,5633.06982421875,0.006349236257169544,0.006349236257169544
2025-04-01,markov_thresh,short,-1,bearish,0.7348484848484849,5597.52978515625,5633.06982421875,0.006349236257169544,-0.006349236257169544
2025-04-01,markov_argmax,short,-1,bearish,0.7348484848484849,5597.52978515625,5633.06982421875,0.006349236257169544,-0.006349236257169544
2025-04-02,direct,long,1,bearish,,5580.759765625,5670.97021484375,0.016164546227989574,0.016164546227989574
2025-04-02,markov_argmax,short,-1,bearish,0.7348484848484849,5580.759765625,5670.97021484375,0.016164546227989574,-0.016164546227989574
2025-04-02,markov_thresh,short,-1,bearish,0.7348484848484849,5580.759765625,5670.97021484375,0.016164546227989574,-0.016164546227989574
2025-04-03,markov_thresh,short,-1,bearish,0.7348484848484849,5492.740234375,5396.52001953125,-0.017517707143982264,0.017517707143982264
2025-04-03,markov_argmax,short,-1,bearish,0.7348484848484849,5492.740234375,5396.52001953125,-0.017517707143982264,0.017517707143982264
2025-04-03,direct,long,1,bearish,,5492.740234375,5396.52001953125,-0.017517707143982264,-0.017517707143982264
2025-04-04,markov_argmax,short,-1,bearish,0.7348484848484849,5292.14013671875,5074.080078125,-0.041204513289580524,0.041204513289580524
2025-04-04,markov_thresh,short,-1,bearish,0.7348484848484849,5292.14013671875,5074.080078125,-0.041204513289580524,0.041204513289580524
2025-04-04,direct,long,1,bearish,,5292.14013671875,5074.080078125,-0.041204513289580524,-0.041204513289580524
2025-04-07,markov_argmax,short,-1,bearish,0.7348484848484849,4953.7900390625,5062.25,0.021894339502129156,-0.021894339502129156
2025-04-07,direct,long,1,bearish,,4953.7900390625,5062.25,0.021894339502129156,0.021894339502129156
2025-04-07,markov_thresh,short,-1,bearish,0.7348484848484849,4953.7900390625,5062.25,0.021894339502129156,-0.021894339502129156
2025-04-08,markov_argmax,short,-1,bullish,0.7348484848484849,5193.56982421875,4982.77001953125,-0.04058861473364517,0.04058861473364517
2025-04-08,markov_thresh,short,-1,bullish,0.7348484848484849,5193.56982421875,4982.77001953125,-0.04058861473364517,0.04058861473364517
2025-04-08,direct,short,-1,bullish,,5193.56982421875,4982.77001953125,-0.04058861473364517,0.04058861473364517
2025-04-09,markov_argmax,long,1,bullish,0.7534246575342466,4965.27978515625,5456.89990234375,0.09901156399226552,0.09901156399226552
2025-04-09,markov_thresh,long,1,bullish,0.7534246575342466,4965.27978515625,5456.89990234375,0.09901156399226552,0.09901156399226552
