Date (UTC),Open,High,Low,Close,Volume,Daily_Return,Log_Return,High_Low_Range,Open_Close_Range,Volume_MA_20,Volume_Ratio,Price_MA_20,Price_MA_50,Volatility_20,50+ bps decrease,25 bps decrease,No change,25+ bps increase,Rate_Cut_Probability,Rate_Hike_Probability,No_Change_Probability,Uncertainty
2025-07-24,6368.60009765625,6381.31005859375,6360.56982421875,6363.35009765625,5282720000,0.0006982236416543,0.0006979799969332,0.0032593263071662,0.0008250371140091,5371033500.0,0.9835574475564154,6259.521997070313,6079.04638671875,0.0043152447759252,0.06510934393638171,0.46222664015904574,0.452286282306163,0.020377733598409543,0.5273359840954275,0.020377733598409543,0.452286282306163,0.7756503488325384
2025-07-25,6370.009765625,6395.81982421875,6368.52978515625,6388.64013671875,4470720000,0.0039743277792958,0.0039664510016805,0.004271650692242,0.0029161716257379,5329162500.0,0.8389160585739317,6271.903002929687,6089.088193359375,0.0041178110104579,0.06388329979879276,0.4627766599597586,0.45271629778672035,0.02062374245472837,0.5266599597585513,0.02062374245472837,0.45271629778672035,0.7765146130190302
2025-07-28,6397.68994140625,6401.06982421875,6375.7900390625,6389.77001953125,4565620000,0.0001768581088181,0.0001768424712665,0.003956290301369,0.0012394690029205,5162976000.0,0.884300062599555,6282.738012695312,6099.0319921875,0.0040634838319121,0.076961271102284,0.4518371400198609,0.4518371400198609,0.01936444885799404,0.5287984111221449,0.01936444885799404,0.4518371400198609,0.7722569096335097
2025-07-29,6405.6201171875,6409.259765625,6363.919921875,6370.85986328125,5076120000,-0.0029594423887242,-0.0029638301974668,0.0071167542094778,0.0054561322415192,5127637000.0,0.989953071951076,6291.03349609375,6108.1105859375,0.0041083597820516,0.07203179334326876,0.45702930948832593,0.45206159960258324,0.018877297565822158,0.5290611028315947,0.018877297565822158,0.45206159960258324,0.7706748218388613
2025-07-30,6381.22998046875,6396.5400390625,6336.3798828125,6362.89990234375,5375070000,-0.0012494327466496,-0.0012502139385094,0.0094548330436316,0.0028807742391559,5082625000.0,1.057538181549888,6299.278002929687,6116.200986328125,0.0041125650326168,0.07249255213505462,0.4568023833167826,0.451837140019861,0.01886792452830189,0.5292949354518373,0.01886792452830189,0.451837140019861,0.7706081661948879
2025-07-31,6427.02001953125,6427.02001953125,6327.64013671875,6339.39013671875,6077080000,-0.003694819341153,-0.0037016620463745,0.0156765683558227,0.0138230777602618,5104193500.0,1.1906053326544144,6304.876513671875,6123.716787109375,0.0041753327669476,0.05967180507210343,0.43262058677274984,0.487319741422178,0.020387866732968673,0.4922923918448533,0.020387866732968673,0.487319741422178,0.7785475741252871
2025-08-01,6287.27978515625,6287.27978515625,6212.68994140625,6238.009765625,5827150000,-0.0159921331401484,-0.0161213871855698,0.011957314360268,0.0078983556266224,5226645500.0,1.1148929078890084,6302.809497070312,6129.667783203125,0.0052896412798408,0.05621301775147929,0.41420118343195267,0.5128205128205129,0.01676528599605523,0.47041420118343197,0.01676528599605523,0.5128205128205129,0.7657795102594712
2025-08-04,6271.7099609375,6330.68994140625,6271.7099609375,6329.93994140625,4842580000,0.014737100330916,0.0146295644914144,0.009317620864448,0.0091991363279528,5206937500.0,0.9300246065945672,6307.807495117188,6139.374384765625,0.0059638263610456,0.05778894472361809,0.5829145728643216,0.3417085427135679,0.017587939698492466,0.6407035175879396,0.017587939698492466,0.3417085427135679,0.7232242674997922
2025-08-05,6336.6298828125,6346.0,6289.3701171875,6299.18994140625,5517410000,-0.0048578659963033,-0.004869703780462,0.0089900262318265,0.0059436120762365,5195856500.0,1.061886524387269,6311.490991210938,6148.51798828125,0.0060902925580046,0.054490413723511606,0.5751765893037336,0.3531786074672048,0.01715438950554995,0.6296670030272452,0.01715438950554995,0.3531786074672048,0.7285843011534094
2025-08-06,6309.2998046875,6352.830078125,6301.10986328125,6345.06005859375,5408560000,0.0072819072950924,0.0072555222198526,0.0081512569410119,0.0056359204760901,5225617500.0,1.0350087812588655,6315.581005859375,6159.36279296875,0.0061535862785158,0.055639097744360905,0.581453634085213,0.3458646616541353,0.01704260651629073,0.6370927318295739,0.01704260651629073,0.3458646616541353,0.7238322644341162
2025-08-07,6374.31982421875,6389.7099609375,6310.31982421875,6340.0,5306090000,-0.0007974800154801,-0.0007977981718278,0.012522103583399,0.0054132214856072,5222554500.0,1.0159951418410282,6318.5580078125,6167.7319921875,0.0061415735402063,0.05766312594840668,0.5766312594840668,0.3490136570561457,0.016691957511380882,0.6342943854324735,0.016691957511380882,0.3490136570561457,0.7244620351911792
2025-08-08,6355.22021484375,6395.16015625,6355.22021484375,6389.4501953125,4769910000,0.0077997153489748,0.0077694548163894,0.0062509199047441,0.0053572654019374,5228239500.0,0.9123357872186232,6325.043017578125,6177.75,0.0062811029598914,0.05849722642460919,0.5698436712052446,0.3530005042864347,0.01865859808371155,0.6283408976298538,0.01865859808371155,0.3530005042864347,0.733835343204628
2025-08-11,6389.669921875,6407.25,6364.06005859375,6373.4501953125,4652400000,-0.0025041278217863,-0.0025072683938851,0.0067765401913731,0.002544889512815,5224747000.0,0.8904546000026413,6330.287524414062,6186.97560546875,0.0063299217323823,0.05721393034825872,0.5721393034825871,0.35323383084577115,0.01741293532338309,0.6293532338308458,0.01741293532338309,0.35323383084577115,0.7295457354065114
2025-08-12,6395.169921875,6446.5498046875,6385.759765625,6445.759765625,5135300000,0.0113454358466127,0.0112815590751707,0.0094310122115768,0.0078485462675468,5224828500.0,0.9828647964234616,6340.387524414063,6197.657001953125,0.0066358844903738,0.06716417910447761,0.5572139303482587,0.3582089552238805,0.017412935323383085,0.6243781094527363,0.017412935323383085,0.3582089552238805,0.7323645910443717
