Date (UTC),Open,High,Low,Close,Volume,Daily_Return,Log_Return,High_Low_Range,Open_Close_Range,Volume_MA_20,Volume_Ratio,Price_MA_20,Price_MA_50,Volatility_20,50+ bps decrease,25 bps decrease,No change,25+ bps increase,Rate_Cut_Probability,Rate_Hike_Probability,No_Change_Probability,Uncertainty,Rate_Cut_Change,Strategy_Signal,Strategy_Return,Buy_Hold_Return,Strategy_Cumulative,Buy_Hold_Cumulative
2025-07-24,6368.60009765625,6381.31005859375,6360.56982421875,6363.35009765625,5282720000,0.0006982236416543,0.0006979799969332,0.0032593263071662,0.0008250371140091,5371033500.0,0.9835574475564154,6259.521997070313,6079.04638671875,0.0043152447759252,0.0651093439363817,0.4622266401590457,0.452286282306163,0.0203777335984095,0.5273359840954275,0.0203777335984095,0.452286282306163,0.7756503488325384,,0,0.0,-0.0008243569888980918,1.0,0.999175643011102
2025-07-25,6370.009765625,6395.81982421875,6368.52978515625,6388.64013671875,4470720000,0.0039743277792958,0.0039664510016805,0.004271650692242,0.0029161716257379,5329162500.0,0.8389160585739317,6271.903002929687,6089.088193359375,0.0041178110104579,0.0638832997987927,0.4627766599597586,0.4527162977867203,0.0206237424547283,0.5266599597585513,0.0206237424547283,0.4527162977867203,0.7765146130190302,-0.0006760243368761909,0,0.0,0.0029247005545088144,1.0,1.0020979325682682
2025-07-28,6397.68994140625,6401.06982421875,6375.7900390625,6389.77001953125,4565620000,0.0001768581088181,0.0001768424712665,0.003956290301369,0.0012394690029205,5162976000.0,0.884300062599555,6282.738012695312,6099.0319921875,0.0040634838319121,0.076961271102284,0.4518371400198609,0.4518371400198609,0.019364448857994,0.5287984111221449,0.019364448857994,0.4518371400198609,0.7722569096335097,0.0021384513635935853,1,-0.001237934621329766,-0.001237934621329766,0.9987620653786702,1.0008574008435789
2025-07-29,6405.6201171875,6409.259765625,6363.919921875,6370.85986328125,5076120000,-0.0029594423887242,-0.0029638301974668,0.0071167542094778,0.0054561322415192,5127637000.0,0.989953071951076,6291.03349609375,6108.1105859375,0.0041083597820516,0.0720317933432687,0.4570293094883259,0.4520615996025832,0.0188772975658221,0.5290611028315947,0.0188772975658221,0.4520615996025832,0.7706748218388613,0.0002626917094498138,1,-0.005426524406744261,-0.005426524406744261,0.9933422586543625,0.9954262237302306
2025-07-30,6381.22998046875,6396.5400390625,6336.3798828125,6362.89990234375,5375070000,-0.0012494327466496,-0.0012502139385094,0.0094548330436316,0.0028807742391559,5082625000.0,1.057538181549888,6299.278002929687,6116.200986328125,0.0041125650326168,0.0724925521350546,0.4568023833167826,0.451837140019861,0.0188679245283018,0.5292949354518373,0.0188679245283018,0.451837140019861,0.7706081661948879,0.0002338326202425689,1,-0.0028724992174084777,-0.0028724992174084777,0.9904888837937591,0.9925668626815776
2025-07-31,6427.02001953125,6427.02001953125,6327.64013671875,6339.39013671875,6077080000,-0.003694819341153,-0.0037016620463745,0.0156765683558227,0.0138230777602618,5104193500.0,1.1906053326544144,6304.876513671875,6123.716787109375,0.0041753327669476,0.0596718050721034,0.4326205867727498,0.487319741422178,0.0203878667329686,0.4922923918448533,0.0203878667329686,0.487319741422178,0.7785475741252871,-0.03700254360698396,0,0.0,-0.013634605547547559,0.9904888837937591,0.9790336050293474
2025-08-01,6287.27978515625,6287.27978515625,6212.68994140625,6238.009765625,5827150000,-0.0159921331401484,-0.0161213871855698,0.011957314360268,0.0078983556266224,5226645500.0,1.1148929078890084,6302.809497070312,6129.667783203125,0.0052896412798408,0.0562130177514792,0.4142011834319526,0.5128205128205129,0.0167652859960552,0.4704142011834319,0.0167652859960552,0.5128205128205129,0.7657795102594712,-0.02187819066142138,0,0.0,-0.007836460474937423,0.9904888837937591,0.9713614468798994
2025-08-04,6271.7099609375,6330.68994140625,6271.7099609375,6329.93994140625,4842580000,0.014737100330916,0.0146295644914144,0.009317620864448,0.0091991363279528,5206937500.0,0.9300246065945672,6307.807495117188,6139.374384765625,0.0059638263610456,0.057788944723618,0.5829145728643216,0.3417085427135679,0.0175879396984924,0.6407035175879396,0.0175879396984924,0.3417085427135679,0.7232242674997922,0.17028931640450773,1,0.009284546133578814,0.009284546133578814,0.9996851235301393,0.9803800970458358
2025-08-05,6336.6298828125,6346.0,6289.3701171875,6299.18994140625,5517410000,-0.0048578659963033,-0.004869703780462,0.0089900262318265,0.0059436120762365,5195856500.0,1.061886524387269,6311.490991210938,6148.51798828125,0.0060902925580046,0.0544904137235116,0.5751765893037336,0.3531786074672048,0.0171543895055499,0.6296670030272452,0.0171543895055499,0.3531786074672048,0.7285843011534094,-0.011036514560694433,0,0.0,-0.0059084942782917215,0.9996851235301393,0.9745875268518894
2025-08-06,6309.2998046875,6352.830078125,6301.10986328125,6345.06005859375,5408560000,0.0072819072950924,0.0072555222198526,0.0081512569410119,0.0056359204760901,5225617500.0,1.0350087812588655,6315.581005859375,6159.36279296875,0.0061535862785158,0.0556390977443609,0.581453634085213,0.3458646616541353,0.0170426065162907,0.6370927318295739,0.0170426065162907,0.3458646616541353,0.7238322644341162,0.007425728802328724,1,0.0056678641074690865,0.0056678641074690865,1.0053512029605665,0.9801113565149202
